1000 20339
1 2 3204
1 44 9843
1 85 9490
1 105 7827
1 121 1215
1 168 4559
1 200 5541
1 222 7118
1 271 338
1 314 8135
1 360 2537
1 402 5899
1 427 1505
1 476 4379
1 497 4384
1 534 5022
1 565 2882
1 573 6376
1 589 6633
1 635 6035
1 674 2248
1 709 9026
1 742 5863
1 777 3085
1 821 6583
1 833 9743
1 847 7
1 880 8644
1 883 9186
1 897 6829
1 910 3657
1 954 3848
1 984 9405
1 999 1601
2 3 7116
2 32 6575
2 37 920
2 79 3491
2 103 8083
2 123 9321
2 130 4135
2 137 124
2 172 1043
2 184 8344
2 206 8129
2 220 6489
2 247 9714
2 275 4663
2 285 6898
2 292 7847
2 299 6590
2 312 9715
2 313 9
2 363 630
2 396 2473
2 440 2743
2 441 1704
2 452 3439
2 492 678
2 518 2018
2 566 9646
2 614 6931
2 615 5181
2 652 4816
2 674 547
2 678 8782
2 708 7071
2 748 984
2 769 4393
2 776 5157
2 785 606
2 828 6163
2 829 9809
2 875 7747
2 903 4075
2 909 5632
2 921 4609
2 925 3066
2 958 494
2 984 4558
3 4 6883
3 35 868
3 80 4526
3 125 1019
3 136 6156
3 155 2123
3 158 6766
3 188 5410
3 206 579
3 256 3400
3 301 5611
3 324 4713
3 335 7932
3 357 2699
3 374 8351
3 422 2156
3 448 6934
3 463 5526
3 464 1214
3 501 6717
3 514 5411
3 548 469
3 568 9817
3 590 1442
3 627 1725
3 662 1387
3 689 211
3 732 3893
3 766 6569
3 799 2906
3 812 186
3 815 2844
3 828 4424
3 840 1270
3 869 1254
3 899 9345
3 905 9517
3 912 5180
3 937 8383
3 952 9715
3 953 4153
3 999 134
4 5 9892
4 25 8844
4 27 6957
4 70 4071
4 106 9501
4 112 3305
4 128 5271
4 146 5900
4 162 5251
4 200 9528
4 210 7749
4 211 440
4 236 4019
4 283 5281
4 298 3948
4 304 5225
4 335 5780
4 347 6639
4 377 4860
4 378 8921
4 380 7610
4 397 4624
4 422 9490
4 437 2096
4 470 2107
4 485 5848
4 534 2669
4 563 5029
4 594 2781
4 595 3901
4 615 2063
4 632 555
4 668 5884
4 703 3269
4 738 4241
4 771 5091
4 815 754
4 821 7422
4 856 6576
4 866 1323
4 890 7480
